Key|Summary|Created Date|Resolution Date|Status|Type|Lead Time|Cycle Time|Resolution Type|Project
GGMA-441|Portin transfer date change makes case to rightnow fail|2013-04-12|Closed|Defect|0|0|Fixed
GGMA-442|Sim swap allowed on lost and stolen flows : defect in portal|2013-06-04|Closed|Defect|53|0|Fixed
GGMA-443|Members having more than one payback decision option|2013-04-12|Closed|Defect|0|0|Fixed
GGMA-453|Users with 2 active SIMs on same account|2013-05-23|Closed|Defect|38|0|Fixed
GGMA-460|SIM Limit Allocation Per Product - Member URL|2013-06-24|Closed|Story|68|0|Complete
GGMA-463|Order Friend SIM via Mobile|2015-08-13|Closed|Story|848|0|Complete
GGMA-468|Product ID Information from Portal Database is Extracted into Existing Feed|2013-05-09|Closed|Story|22|0|Complete
GGMA-469|Recommendor activations|2013-07-04|Closed|Defect|78|0|Fixed
GGMA-471|Top up not going through on staging/staging 2|2013-04-22|Closed|Defect|4|0|Fixed
GGMA-515|Bundle expiry script performance investigation|2013-05-12|Closed|Story|24|0|Complete
GGMA-555|tools.giffgaff.com still exists on 2e2 and has not been migrated to RS.|2015-06-23|Closed|Defect|795|0|Complete
GGMA-581|Support for Operations Team|2013-06-27|Closed|Story|66|0|Complete
GGMA-592|Date and Time in hh:mm not updating in payment_context table after the CR Status for 539 release from fjs in portal |2013-05-02|Closed|Defect|10|0|Complete
GGMA-599|Generalisation Work for SIM Orders|2013-05-09|Closed|Story|16|0|Complete
GGMA-607|Investigate root cause for the Voucher Timeout Errors - P2|2013-12-04|Closed|Story|224|0|Complete
GGMA-624|Tech - review of KonaKart replacement|2014-05-29|Closed|Story|398|0|Complete
GGBDM-1597|Produce data for SAT report on batch server|2015-03-10|Closed|Epic|683|0|Complete
GGMRS-102|Delegation of Authority|2015-03-06|Closed|Epic|679|0|Complete
GGMA-633|Assign MSISDNs to the Correct Channel|2015-08-13|Closed|Story|839|0|Complete
GGMA-654|Spike - Unlockapedia & CMS to FE Solution|2014-08-22|Closed|Story|480|0|Complete
GGMA-657|Homeworking Agent|2013-08-19|Closed|Story|112|0|Fixed (Externally)
GGMA-668|Change SMS Messages to Read giffgaff|2013-08-19|Closed|Story|112|0|Fixed (Externally)
GGMA-670|BPM Dashboard|2014-04-04|Closed|Story|340|0|Fixed
GGMA-675|Physically activate within 1 minute (90%)|2015-08-13|Closed|Story|836|0|Complete
GGMA-677|Positive Comms - Successful Activation in 1 minute|2015-08-13|Closed|Story|836|0|Complete
GGMA-678|Integrate set-up-wizard in on activation success page|2015-08-13|Closed|Story|836|0|Complete
